property_id,location,property_type,size_sqft,num_bedrooms,num_bathrooms,floor_number,total_floors,age_years,furnishing,amenities,distance_to_metro_km,view_score,date_listed,price
215,Bangalore,Villa,2488,1,1,10,29,16,Fully Furnished,"pool,gym,parking,garden,clubhouse,lift,security",0.78,5,02-08-2020,42289000
216,Delhi NCR,Penthouse,4987,4,4,10,28,18,Unfurnished,gym,7.76,5,03-08-2020,97105000
217,Pune,Villa,2689,3,1,16,32,29,Unfurnished,"lift,garden,gym",3.31,5,04-08-2020,31431000
218,Bangalore,Villa,4423,5,2,4,22,20,Unfurnished,"gym,parking",6.17,4,05-08-2020,76255000
219,Hyderabad,Apartment,885,3,4,29,22,25,Unfurnished,"pool,security,lift",7.13,5,06-08-2020,13572000
220,Pune,Villa,3763,3,3,9,25,12,Semi-Furnished,gym,8.01,2,07-08-2020,41882000
221,Chennai,Studio,3411,1,4,28,7,7,Fully Furnished,"pool,clubhouse",1.54,5,08-08-2020,43870000
222,Chennai,Penthouse,993,3,4,9,20,8,Fully Furnished,"lift,security,parking,gym,pool",4.2,1,09-08-2020,14428000
223,Pune,Studio,2744,1,4,8,18,15,Semi-Furnished,"garden,parking",7.48,3,10-08-2020,31983000
224,Hyderabad,Apartment,4086,5,4,5,25,17,Semi-Furnished,"pool,parking,clubhouse,gym,security,lift",5.79,4,11-08-2020,45034000
225,Mumbai,Apartment,4917,1,2,1,39,0,Unfurnished,"lift,clubhouse,security,pool,garden,gym",8.85,3,12-08-2020,129614000
226,Hyderabad,Apartment,1607,5,2,21,31,3,Semi-Furnished,"clubhouse,garden,pool,lift,gym,security",0.98,1,13-08-2020,17703000
227,Hyderabad,Apartment,2439,4,4,5,10,25,Semi-Furnished,lift,5.2,4,14-08-2020,24960000
228,Chennai,Villa,3820,2,1,15,10,22,Fully Furnished,"garden,clubhouse",1.06,5,15-08-2020,49852000
229,Delhi NCR,Villa,3067,1,4,20,28,13,Fully Furnished,"garden,security",5.67,2,16-08-2020,64416000
230,Bangalore,Apartment,808,5,1,17,37,13,Unfurnished,"security,pool,gym,lift,parking",6.26,1,17-08-2020,16180000
231,Delhi NCR,Apartment,2644,5,3,5,6,21,Fully Furnished,"clubhouse,pool,lift,security,parking",8.3,1,18-08-2020,57357000
232,Bangalore,Apartment,4757,5,2,20,30,15,Fully Furnished,"security,clubhouse,lift,garden,parking,pool,gym",4.29,2,19-08-2020,78596000
233,Bangalore,Apartment,676,5,1,11,31,21,Semi-Furnished,"gym,lift",6.28,5,20-08-2020,14281000
234,Chennai,Penthouse,2736,4,3,9,14,10,Fully Furnished,"lift,parking",8.6,2,21-08-2020,39055000
235,Chennai,Villa,660,3,3,8,35,13,Fully Furnished,"garden,lift,pool,parking,gym,security,clubhouse",7.03,5,22-08-2020,8445000
236,Delhi NCR,Apartment,4965,1,3,28,35,26,Semi-Furnished,"pool,gym",6.99,5,23-08-2020,96001000
237,Chennai,Apartment,1547,3,3,3,12,17,Semi-Furnished,"pool,clubhouse",8.9,3,24-08-2020,23954000
238,Mumbai,Apartment,4574,2,1,11,26,16,Unfurnished,"clubhouse,lift,garden",1.76,3,25-08-2020,117402000
239,Delhi NCR,Apartment,1439,3,1,15,15,16,Unfurnished,"clubhouse,lift,parking",9.93,4,26-08-2020,26669000
240,Mumbai,Apartment,1979,1,1,18,15,19,Unfurnished,"lift,garden,gym",0.65,5,27-08-2020,51307000
241,Bangalore,Apartment,1816,5,1,18,31,0,Fully Furnished,"security,parking,lift,garden,clubhouse,pool",2.97,1,28-08-2020,35108000
242,Hyderabad,Apartment,1788,2,4,17,37,15,Semi-Furnished,"garden,parking",7.86,4,29-08-2020,19675000
243,Hyderabad,Apartment,1296,2,1,12,18,6,Semi-Furnished,garden,7.6,5,30-08-2020,18236000
244,Hyderabad,Apartment,1314,1,2,14,18,13,Unfurnished,"gym,pool,security,lift,garden,parking",7.01,4,31-08-2020,18390000
245,Bangalore,Apartment,4187,4,1,18,24,17,Fully Furnished,"parking,gym,lift",4.09,4,01-09-2020,74513000
246,Hyderabad,Penthouse,3567,3,2,8,16,3,Semi-Furnished,"lift,security,pool,garden,clubhouse",0.81,2,02-09-2020,42188000
247,Bangalore,Apartment,692,2,4,18,9,27,Fully Furnished,"parking,garden,lift,clubhouse,pool",3.63,4,03-09-2020,14007000
248,Chennai,Villa,4972,3,2,23,36,25,Fully Furnished,"parking,lift,gym,garden,security,clubhouse",4.65,4,04-09-2020,58360000
249,Pune,Apartment,1909,5,2,21,10,15,Fully Furnished,"gym,pool,clubhouse,security,garden,lift",6.71,3,05-09-2020,24809000
250,Delhi NCR,Apartment,1211,2,4,26,38,2,Semi-Furnished,"clubhouse,parking,pool,gym,security,garden,lift",2.44,4,06-09-2020,26989000
251,Bangalore,Apartment,3007,4,1,3,11,10,Fully Furnished,"security,garden,pool",2.62,4,07-09-2020,50721000
252,Mumbai,Apartment,4509,5,4,22,7,4,Fully Furnished,parking,4.48,5,08-09-2020,121247000
253,Bangalore,Apartment,3908,1,1,29,17,22,Unfurnished,"pool,garden,lift,clubhouse,gym,parking",7.46,1,09-09-2020,67682000
254,Pune,Studio,3390,4,2,21,6,5,Unfurnished,clubhouse,3.23,2,10-09-2020,41530000
255,Chennai,Apartment,894,5,1,8,6,23,Fully Furnished,"garden,pool,gym,lift,clubhouse,security",8.94,3,11-09-2020,16817000
256,Mumbai,Apartment,960,5,1,18,17,22,Unfurnished,"gym,clubhouse,parking,garden,lift,pool",4.86,4,12-09-2020,29619000
257,Delhi NCR,Penthouse,4838,5,1,17,12,21,Unfurnished,"gym,clubhouse,garden,lift,security,pool",6.54,2,13-09-2020,97892000
258,Bangalore,Apartment,3284,5,2,24,20,11,Unfurnished,"garden,security,clubhouse,pool",9.38,5,14-09-2020,54855000
259,Chennai,Villa,1000,2,2,25,7,27,Fully Furnished,pool,8.93,5,15-09-2020,19919000
260,Pune,Apartment,663,2,1,3,23,3,Fully Furnished,"pool,garden,security,parking,gym,clubhouse,lift",5.67,4,16-09-2020,10642000
261,Pune,Apartment,4683,3,3,5,31,7,Semi-Furnished,"security,gym,clubhouse,parking,lift",7.68,3,17-09-2020,57817000
262,Pune,Villa,520,5,3,26,12,19,Unfurnished,"clubhouse,lift,parking",4.96,3,18-09-2020,10698000
263,Hyderabad,Studio,2298,2,1,3,33,23,Unfurnished,"security,gym,garden,lift,pool",2.21,2,19-09-2020,23153000
264,Hyderabad,Villa,2400,5,4,8,25,5,Fully Furnished,"security,parking,pool,garden,lift,gym",1.7,3,20-09-2020,27796000
265,Bangalore,Villa,3221,5,4,27,17,9,Fully Furnished,"lift,garden",1.38,1,21-09-2020,54928000
266,Pune,Penthouse,2322,1,1,10,15,18,Fully Furnished,"lift,security,parking,gym,garden,clubhouse,pool",7.73,1,22-09-2020,24992000
267,Delhi NCR,Studio,2743,3,2,23,6,6,Unfurnished,"pool,lift,security,clubhouse,gym",4.86,2,23-09-2020,57401000
268,Mumbai,Apartment,1310,5,4,8,18,14,Fully Furnished,"lift,gym,security,clubhouse",1.37,4,24-09-2020,39679000
269,Delhi NCR,Apartment,4821,3,4,14,29,26,Unfurnished,"lift,pool",1.76,2,25-09-2020,93470000
270,Pune,Apartment,1249,3,1,26,10,25,Fully Furnished,"lift,gym,pool,parking",1.6,3,26-09-2020,19534000
271,Delhi NCR,Apartment,819,3,2,20,30,5,Unfurnished,"pool,security,garden",7.2,4,27-09-2020,15290000
272,Mumbai,Apartment,2046,3,1,26,25,22,Fully Furnished,"garden,gym,security,parking,lift,clubhouse",5.34,5,28-09-2020,57397000
273,Mumbai,Apartment,3188,2,1,16,16,23,Unfurnished,security,7.58,4,29-09-2020,83653000
274,Mumbai,Villa,1848,3,2,21,10,0,Fully Furnished,"security,lift,gym,pool,parking",7.23,5,30-09-2020,55666000
275,Bangalore,Apartment,2234,1,3,10,36,20,Fully Furnished,"garden,pool,clubhouse,security,gym",0.83,2,01-10-2020,41191000
276,Mumbai,Apartment,2988,2,2,9,31,16,Semi-Furnished,security,3.03,3,02-10-2020,80718000
277,Pune,Apartment,2012,5,4,15,35,25,Fully Furnished,"pool,clubhouse,lift,gym,parking,security",9.56,5,03-10-2020,31594000
278,Hyderabad,Penthouse,2354,3,4,5,34,9,Fully Furnished,"pool,security,garden,lift,clubhouse,parking,gym",5.63,1,04-10-2020,31806000
279,Chennai,Penthouse,1804,1,2,19,35,4,Fully Furnished,"pool,lift,garden",1.68,5,05-10-2020,27319000
280,Delhi NCR,Penthouse,1307,1,1,23,17,24,Unfurnished,"clubhouse,security,gym",1.28,2,06-10-2020,34266000
281,Pune,Apartment,4014,1,3,26,32,0,Unfurnished,"garden,clubhouse,lift,security",6.99,4,07-10-2020,47932000
282,Delhi NCR,Apartment,4043,5,3,22,34,11,Unfurnished,"parking,lift,gym,pool,garden,security,clubhouse",5.66,1,08-10-2020,81266000
283,Mumbai,Apartment,2512,3,4,9,37,27,Semi-Furnished,"clubhouse,parking",7.18,4,09-10-2020,69259000
284,Bangalore,Penthouse,4176,5,4,9,17,14,Unfurnished,garden,3.44,4,10-10-2020,69752000
285,Chennai,Apartment,3465,3,2,12,11,23,Unfurnished,"security,pool,parking",4.1,3,11-10-2020,44113000
286,Chennai,Apartment,3578,4,4,10,5,3,Unfurnished,"pool,clubhouse,gym,garden,parking,security",1.53,1,12-10-2020,46853000
287,Chennai,Villa,2310,4,3,7,29,24,Unfurnished,"clubhouse,pool",2.87,3,13-10-2020,31130000
288,Chennai,Apartment,1566,5,4,20,38,16,Semi-Furnished,"security,gym,parking,clubhouse,garden,pool,lift",6.36,5,14-10-2020,22589000
289,Hyderabad,Apartment,4217,5,1,27,13,17,Unfurnished,"gym,parking,lift,garden,pool,clubhouse,security",3.95,1,15-10-2020,45082000
290,Chennai,Villa,3597,3,1,3,39,0,Unfurnished,"gym,clubhouse,parking,lift",9.94,3,16-10-2020,42763000
291,Bangalore,Apartment,2797,2,1,25,16,26,Semi-Furnished,"gym,lift,parking,pool,security,garden,clubhouse",3.56,2,17-10-2020,49205000
292,Mumbai,Apartment,1131,3,4,17,25,7,Unfurnished,gym,5.74,2,18-10-2020,32257000
293,Pune,Apartment,3957,5,4,10,26,18,Fully Furnished,"clubhouse,pool,lift,garden,parking,gym",2.04,3,19-10-2020,48019000
294,Bangalore,Villa,3578,3,4,14,17,1,Unfurnished,"gym,parking,clubhouse,lift,pool,security,garden",6.49,4,20-10-2020,63020000
295,Delhi NCR,Studio,2497,3,2,15,6,25,Fully Furnished,"pool,lift,gym,parking,security,clubhouse,garden",4.11,4,21-10-2020,55340000
296,Delhi NCR,Apartment,4091,4,4,1,39,2,Unfurnished,"security,pool,garden,gym,parking,clubhouse,lift",5.9,3,22-10-2020,81720000
297,Bangalore,Apartment,3250,3,4,14,5,26,Semi-Furnished,pool,3.52,3,23-10-2020,54850000
298,Chennai,Apartment,4623,2,2,7,6,24,Semi-Furnished,"lift,security,pool,clubhouse,parking",1.22,2,24-10-2020,59456000
299,Mumbai,Apartment,1680,2,2,28,21,6,Semi-Furnished,"security,clubhouse,garden,gym,parking",3.05,1,25-10-2020,48052000
300,Hyderabad,Apartment,444,3,1,3,22,7,Unfurnished,"lift,security,parking",4.19,3,26-10-2020,6841000
301,Bangalore,Apartment,3181,1,3,9,38,4,Unfurnished,"garden,lift,pool,security",1.19,3,27-10-2020,51919000
302,Hyderabad,Villa,1466,2,1,17,28,25,Unfurnished,"lift,pool,clubhouse,parking",0.3,4,28-10-2020,16579000
303,Delhi NCR,Villa,4285,2,3,12,15,2,Semi-Furnished,garden,3.85,5,29-10-2020,84986000
304,Hyderabad,Villa,2283,2,3,1,34,2,Semi-Furnished,gym,4.9,3,30-10-2020,26132000
305,Delhi NCR,Apartment,1806,3,1,24,32,18,Unfurnished,"parking,clubhouse,pool",1.39,4,31-10-2020,35694000
306,Hyderabad,Apartment,1605,4,4,16,5,11,Semi-Furnished,parking,8.94,2,01-11-2020,25418000
307,Delhi NCR,Penthouse,2985,2,1,21,18,24,Unfurnished,"security,lift,clubhouse,garden,pool,gym",2.75,4,02-11-2020,58979000
308,Bangalore,Apartment,4617,5,4,22,34,5,Unfurnished,"lift,pool,security,gym",2.59,3,03-11-2020,75844000
309,Delhi NCR,Apartment,4364,3,2,28,37,3,Unfurnished,"parking,garden,lift,clubhouse,pool",8.71,3,04-11-2020,89090000
310,Bangalore,Apartment,2492,5,3,10,12,0,Semi-Furnished,security,5.41,1,05-11-2020,44069000
311,Bangalore,Apartment,414,2,4,25,5,15,Semi-Furnished,"garden,parking,security,pool,gym,clubhouse",8.3,5,06-11-2020,12222000
312,Hyderabad,Apartment,4342,5,3,27,8,23,Semi-Furnished,clubhouse,9.53,1,07-11-2020,44532000
313,Delhi NCR,Apartment,4077,2,3,25,29,10,Fully Furnished,clubhouse,0.87,4,08-11-2020,81845000
314,Bangalore,Apartment,1090,1,2,12,12,23,Unfurnished,"parking,pool",0.81,4,09-11-2020,19759000
315,Bangalore,Apartment,529,3,4,23,16,20,Semi-Furnished,"gym,clubhouse,pool,lift,security",8.16,1,10-11-2020,16003000
316,Delhi NCR,Penthouse,2643,5,1,29,15,2,Unfurnished,"garden,security,gym,parking,clubhouse,lift",5.3,3,11-11-2020,54968000
317,Delhi NCR,Apartment,2134,3,2,16,33,28,Fully Furnished,"gym,garden,clubhouse,security,pool,lift,parking",8.6,2,12-11-2020,48043000
318,Chennai,Apartment,2208,1,4,15,12,19,Fully Furnished,security,6.25,2,13-11-2020,31982000
319,Delhi NCR,Villa,3262,5,1,16,15,13,Unfurnished,security,0.99,5,14-11-2020,66898000
320,Bangalore,Villa,3479,3,4,14,35,12,Unfurnished,"clubhouse,lift,parking,garden,pool,security,gym",5.48,4,15-11-2020,62868000
321,Delhi NCR,Apartment,749,3,3,12,37,12,Fully Furnished,"lift,gym,clubhouse,pool,security",9.65,1,16-11-2020,14526000
322,Mumbai,Penthouse,1519,3,2,29,37,29,Fully Furnished,"parking,security,garden,gym,lift",5.83,5,17-11-2020,44693000
323,Mumbai,Apartment,2725,4,2,23,10,27,Fully Furnished,"garden,security,clubhouse",7.33,5,18-11-2020,74310000
324,Pune,Apartment,3485,1,1,19,11,0,Semi-Furnished,"garden,gym,parking,pool,lift",9.04,5,19-11-2020,41659000
325,Chennai,Apartment,2345,2,2,25,25,27,Semi-Furnished,"gym,pool,lift,security,parking",1.71,3,20-11-2020,31069000
326,Hyderabad,Apartment,2525,3,4,18,35,24,Fully Furnished,"lift,garden,pool,security,clubhouse,gym,parking",5.87,2,21-11-2020,29758000
327,Mumbai,Penthouse,1623,2,3,9,14,21,Unfurnished,"gym,garden",8.36,2,22-11-2020,48593000
328,Pune,Apartment,3309,5,4,25,18,0,Unfurnished,parking,7.01,2,23-11-2020,42999000
329,Chennai,Apartment,3608,2,3,22,33,4,Unfurnished,"lift,security",5.64,5,24-11-2020,44164000
330,Chennai,Apartment,2173,3,1,9,29,3,Fully Furnished,"lift,clubhouse",7.05,3,25-11-2020,29707000
331,Delhi NCR,Apartment,1958,5,1,9,23,12,Fully Furnished,security,1.96,4,26-11-2020,38498000
332,Bangalore,Apartment,1687,3,2,5,21,14,Fully Furnished,parking,3.98,5,27-11-2020,30470000
333,Mumbai,Villa,2264,5,2,4,7,29,Semi-Furnished,gym,7.26,2,28-11-2020,62265000
334,Mumbai,Penthouse,803,4,2,15,33,3,Unfurnished,"parking,clubhouse,pool,security,lift,garden,gym",2.18,5,29-11-2020,21915000
335,Chennai,Apartment,4469,3,3,25,9,28,Unfurnished,"garden,lift,pool,parking,gym,clubhouse",8.65,3,30-11-2020,57676000
336,Delhi NCR,Apartment,3387,2,1,29,16,16,Fully Furnished,"pool,lift,clubhouse,garden",4.79,4,01-12-2020,71345000
337,Delhi NCR,Apartment,3809,5,1,16,23,14,Fully Furnished,"gym,pool,parking",6,1,02-12-2020,71127000
338,Delhi NCR,Studio,3206,2,4,22,37,22,Fully Furnished,"parking,clubhouse,pool,security,garden",4.86,1,03-12-2020,62015000
339,Pune,Villa,4687,3,2,3,35,20,Semi-Furnished,"gym,security,lift",9.82,4,04-12-2020,53216000
340,Bangalore,Villa,1430,2,3,12,32,21,Unfurnished,"security,garden,lift,gym",6.61,2,05-12-2020,25619000
341,Bangalore,Villa,2908,3,3,13,12,27,Unfurnished,clubhouse,6.35,1,06-12-2020,48910000
342,Delhi NCR,Studio,837,1,3,25,8,18,Fully Furnished,"garden,security,parking",7.8,3,07-12-2020,18219000
343,Hyderabad,Villa,1615,1,2,23,30,29,Unfurnished,"security,lift,clubhouse,pool,garden,parking",4.75,5,08-12-2020,17840000
344,Chennai,Apartment,3757,4,1,8,28,29,Semi-Furnished,"clubhouse,garden,parking,gym",7.93,3,09-12-2020,48122000
345,Pune,Apartment,3378,1,2,18,10,11,Fully Furnished,gym,6.48,4,10-12-2020,35428000
346,Chennai,Apartment,3194,1,4,10,11,20,Unfurnished,"garden,parking,gym,lift,pool,clubhouse,security",7.39,3,11-12-2020,39597000
347,Delhi NCR,Apartment,3665,3,2,23,12,12,Unfurnished,"pool,garden",9.19,5,12-12-2020,72818000
348,Bangalore,Apartment,1233,3,2,16,11,8,Fully Furnished,"garden,gym",9.33,3,13-12-2020,27008000
349,Mumbai,Penthouse,4148,3,2,2,34,17,Fully Furnished,"lift,gym",2.58,3,14-12-2020,114392000
350,Hyderabad,Studio,1337,3,2,21,36,20,Fully Furnished,"pool,security,parking,lift,garden,gym",4.24,4,15-12-2020,16249000
351,Bangalore,Apartment,3496,2,1,8,27,12,Unfurnished,"lift,gym,pool,clubhouse",4.91,4,16-12-2020,58183000
352,Hyderabad,Apartment,4751,2,3,29,34,24,Semi-Furnished,"clubhouse,pool,security,garden,gym",4.97,4,17-12-2020,51487000
353,Mumbai,Penthouse,2679,5,2,10,29,5,Semi-Furnished,"garden,lift,clubhouse,security",9.66,3,18-12-2020,72266000
354,Mumbai,Apartment,4105,4,1,16,25,22,Unfurnished,"parking,lift",9.28,1,19-12-2020,104819000
355,Delhi NCR,Apartment,2882,3,2,27,39,18,Semi-Furnished,"garden,clubhouse,parking,security,lift,pool,gym",1.83,3,20-12-2020,57408000
356,Delhi NCR,Apartment,1446,5,4,22,31,18,Semi-Furnished,"gym,garden",3.15,2,21-12-2020,29613000
357,Bangalore,Apartment,2641,4,1,11,32,0,Unfurnished,"lift,clubhouse,garden,parking",3.63,1,22-12-2020,42946000
358,Pune,Studio,4918,3,1,16,32,21,Fully Furnished,"garden,lift",8.26,2,23-12-2020,58612000
359,Hyderabad,Apartment,546,3,1,14,7,14,Unfurnished,"garden,pool,clubhouse,lift,parking,security,gym",4.69,3,24-12-2020,9864000
360,Chennai,Villa,3516,2,4,5,10,14,Unfurnished,"parking,gym,clubhouse",5.32,1,25-12-2020,39714000
361,Chennai,Studio,763,1,2,19,19,22,Fully Furnished,"parking,security,gym,clubhouse,garden,pool,lift",5.91,3,26-12-2020,11184000
362,Delhi NCR,Villa,3052,5,1,4,28,21,Unfurnished,"gym,parking,garden,clubhouse,pool",6.89,4,27-12-2020,63916000
363,Mumbai,Apartment,4274,5,3,25,14,18,Fully Furnished,"gym,clubhouse,lift,security,garden",2.93,2,28-12-2020,116614000
364,Chennai,Apartment,2392,1,4,21,37,22,Fully Furnished,"pool,garden,security",7.52,4,29-12-2020,30897000
365,Hyderabad,Apartment,2970,2,1,26,5,7,Unfurnished,"garden,lift,parking,security,clubhouse",9.54,3,30-12-2020,31011000
366,Chennai,Penthouse,1760,2,3,13,17,13,Semi-Furnished,pool,1.68,1,31-12-2020,25419000
367,Mumbai,Apartment,2846,4,3,11,32,11,Semi-Furnished,clubhouse,4.96,2,01-01-2021,79553000
368,Chennai,Penthouse,4035,1,4,22,39,22,Semi-Furnished,"lift,parking,clubhouse",0.56,1,02-01-2021,52260000
369,Bangalore,Apartment,1836,5,1,26,33,7,Semi-Furnished,"garden,pool,clubhouse,security,gym",9.84,2,03-01-2021,31888000
370,Mumbai,Apartment,4144,3,4,18,34,14,Unfurnished,"parking,clubhouse,lift,garden,security,pool,gym",6.19,1,04-01-2021,113355000
371,Hyderabad,Apartment,637,2,3,29,28,5,Unfurnished,"lift,garden,security",3.97,1,05-01-2021,11833000
372,Bangalore,Apartment,1209,2,3,17,17,28,Unfurnished,"security,clubhouse,parking,pool,lift,garden,gym",4.47,4,06-01-2021,22590000
373,Hyderabad,Apartment,355,4,4,11,18,14,Semi-Furnished,"security,gym,clubhouse",6.86,1,07-01-2021,6792000
374,Mumbai,Apartment,1210,4,3,13,21,26,Semi-Furnished,"garden,lift,clubhouse,security,pool",0.27,3,08-01-2021,32630000
375,Chennai,Apartment,4386,5,2,14,21,9,Semi-Furnished,"clubhouse,lift,parking,security,garden,gym,pool",9.2,3,09-01-2021,54750000
376,Hyderabad,Apartment,2825,1,1,4,38,6,Fully Furnished,gym,5.02,1,10-01-2021,29122000
377,Delhi NCR,Villa,1223,1,4,1,23,16,Semi-Furnished,"lift,pool,parking,gym,garden",3.66,2,11-01-2021,22851000
378,Hyderabad,Apartment,3533,2,3,21,39,18,Unfurnished,"gym,security,pool,parking,clubhouse,garden",7.86,1,12-01-2021,39086000
379,Pune,Studio,1259,1,3,18,13,20,Unfurnished,"lift,gym,clubhouse,garden,pool,security",3.94,5,13-01-2021,20575000
380,Mumbai,Penthouse,883,2,2,14,39,26,Unfurnished,"clubhouse,parking,security,lift,gym,pool",2.18,4,14-01-2021,23271000
381,Delhi NCR,Apartment,1611,2,4,12,39,6,Semi-Furnished,"pool,garden,lift,security",2.28,2,15-01-2021,31568000
382,Delhi NCR,Penthouse,1209,2,1,12,28,13,Unfurnished,"gym,clubhouse,pool",4.88,1,16-01-2021,26844000
383,Mumbai,Apartment,4786,4,4,12,13,4,Semi-Furnished,"security,lift,pool",4.76,5,17-01-2021,127171000
384,Mumbai,Apartment,3368,2,2,14,14,7,Fully Furnished,"garden,pool",5.95,2,18-01-2021,88763000
385,Hyderabad,Studio,1778,4,3,29,38,16,Unfurnished,"garden,clubhouse",6.11,2,19-01-2021,22536000
386,Bangalore,Villa,4566,3,1,24,6,29,Semi-Furnished,"parking,clubhouse,gym,security,pool,lift,garden",0.54,5,20-01-2021,74993000
387,Mumbai,Villa,3232,2,1,5,21,0,Unfurnished,"garden,gym,lift,security",4.02,3,21-01-2021,88611000
388,Chennai,Penthouse,2903,5,1,23,16,21,Semi-Furnished,"garden,lift,parking,clubhouse",6.68,1,22-01-2021,42521000
389,Bangalore,Penthouse,4159,2,2,2,6,13,Semi-Furnished,"gym,parking,pool,lift,garden",3.33,1,23-01-2021,70876000
390,Delhi NCR,Apartment,443,2,1,8,14,23,Fully Furnished,"lift,clubhouse,gym,security,garden,pool",5.51,3,24-01-2021,15456000
391,Hyderabad,Penthouse,2877,1,4,18,12,17,Fully Furnished,"security,parking,gym,pool,clubhouse,garden,lift",2.88,2,25-01-2021,30517000
392,Mumbai,Apartment,745,2,3,23,22,12,Fully Furnished,"security,pool,garden,clubhouse,lift,gym,parking",7.8,4,26-01-2021,22358000
393,Pune,Penthouse,4398,3,4,18,22,8,Fully Furnished,"parking,gym,lift,security,garden,pool",3.88,4,27-01-2021,50040000
394,Mumbai,Apartment,4169,4,3,14,15,1,Unfurnished,"security,garden,pool,gym,clubhouse,parking,lift",6.29,4,28-01-2021,113375000
395,Pune,Villa,4171,5,1,21,10,19,Unfurnished,"clubhouse,parking,security,pool,gym",6.53,3,29-01-2021,51381000
396,Bangalore,Apartment,751,4,4,13,26,20,Fully Furnished,"gym,pool,clubhouse,security,parking,garden",8.09,1,30-01-2021,18773000
397,Hyderabad,Villa,3433,1,1,1,35,24,Fully Furnished,"gym,pool,parking",6.25,2,31-01-2021,41885000
398,Delhi NCR,Villa,1150,5,1,2,18,28,Semi-Furnished,"clubhouse,parking,garden,pool",9.97,1,01-02-2021,22347000
399,Bangalore,Apartment,1845,4,2,1,15,13,Semi-Furnished,"lift,gym,security",1.14,4,02-02-2021,28948000
400,Mumbai,Penthouse,1731,2,2,8,28,4,Fully Furnished,"lift,security,pool,clubhouse,garden",9.56,1,03-02-2021,47407000
401,Mumbai,Villa,1911,5,2,21,30,15,Fully Furnished,"gym,lift,clubhouse,security",3.47,5,04-02-2021,59120000
402,Bangalore,Apartment,915,1,4,29,23,3,Fully Furnished,"security,parking,gym,lift,pool,clubhouse,garden",3.76,4,05-02-2021,18287000
403,Pune,Villa,2225,1,4,19,29,16,Fully Furnished,"security,gym,lift,clubhouse",4.89,4,06-02-2021,27089000
404,Bangalore,Apartment,1996,4,4,27,36,1,Semi-Furnished,"garden,parking,gym,pool,clubhouse,security",6.35,2,07-02-2021,39797000
405,Delhi NCR,Apartment,3034,3,2,13,25,17,Fully Furnished,"clubhouse,security,gym",6.38,1,08-02-2021,65776000
406,Pune,Apartment,3601,3,3,1,35,23,Semi-Furnished,"pool,garden,parking,gym,lift,security,clubhouse",7.8,2,09-02-2021,46769000
407,Hyderabad,Apartment,3417,5,4,4,13,0,Unfurnished,parking,3.52,5,10-02-2021,39756000
408,Pune,Villa,1436,1,2,28,38,2,Unfurnished,"security,gym,pool",1.35,1,11-02-2021,16796000
409,Mumbai,Apartment,723,1,4,23,32,13,Fully Furnished,"clubhouse,gym,security,pool",6.77,3,12-02-2021,25565000
410,Mumbai,Apartment,1413,1,4,15,28,17,Fully Furnished,"garden,clubhouse,lift,pool,security",1.43,2,13-02-2021,36731000
411,Pune,Villa,3909,4,1,1,21,16,Unfurnished,"lift,security,pool,parking,clubhouse,gym,garden",2.49,3,14-02-2021,45428000
412,Mumbai,Villa,1372,1,4,27,21,26,Fully Furnished,"parking,security,lift,garden,pool,clubhouse",9.27,2,15-02-2021,37170000
413,Hyderabad,Apartment,3668,2,1,3,36,6,Semi-Furnished,lift,3.47,5,16-02-2021,37737000
414,Bangalore,Villa,1654,5,2,16,5,19,Semi-Furnished,"security,lift,garden",3.05,2,17-02-2021,33304000
415,Delhi NCR,Penthouse,3125,2,3,11,6,14,Semi-Furnished,parking,2.94,3,18-02-2021,57710000
416,Pune,Apartment,4321,4,4,21,20,24,Unfurnished,"gym,clubhouse,pool,security,garden,lift,parking",6.72,3,19-02-2021,49332000
417,Chennai,Apartment,4907,1,3,26,31,28,Semi-Furnished,"clubhouse,gym,garden,security",8.23,3,20-02-2021,61687000
418,Mumbai,Apartment,1363,2,4,12,9,16,Unfurnished,"security,clubhouse,parking,lift",0.24,1,21-02-2021,39443000
419,Mumbai,Villa,2311,1,3,2,37,20,Fully Furnished,"pool,security,gym,garden,clubhouse,lift",3.81,4,22-02-2021,61130000
420,Bangalore,Apartment,2578,4,2,2,37,17,Semi-Furnished,"clubhouse,lift,pool",9.65,1,23-02-2021,39582000
421,Bangalore,Apartment,3240,5,2,14,22,20,Fully Furnished,"clubhouse,garden,gym",1.89,3,24-02-2021,54679000
422,Pune,Apartment,366,1,4,23,21,23,Fully Furnished,"lift,parking,gym,pool,security,garden",3.4,4,25-02-2021,8163000
423,Chennai,Penthouse,1070,4,2,3,14,16,Fully Furnished,"garden,security,gym,pool",8.56,3,26-02-2021,12994000
424,Delhi NCR,Apartment,4686,5,2,13,14,24,Unfurnished,"garden,parking,lift,gym",3.13,4,27-02-2021,95599000
425,Hyderabad,Penthouse,3980,4,1,1,16,12,Fully Furnished,"security,pool,garden,gym,lift,parking,clubhouse",5.31,5,28-02-2021,40321000
426,Delhi NCR,Apartment,1568,1,1,12,25,12,Unfurnished,"gym,security,lift,parking,garden",9.78,3,01-03-2021,36324000
427,Delhi NCR,Villa,982,3,3,17,24,2,Semi-Furnished,"clubhouse,security,pool,gym,lift",1.96,4,02-03-2021,24341000
